CD45,CD3,CD8,CD4,CD20,CD68,CD11c,MPO,Pan-Keratin,Beta catenin,Keratin17,Vimentin,SMA,CD31,FoxP3,HLA-DR,celltype,SampleID
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.2695,0.422,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.4278,Tumor,17
1.8505,0.8525,-0.374,0.1247,2.2738,-0.3742,-0.0455,-0.139,-0.5577,-0.6086,-0.2738,0.1182,0.3482,-0.167,-0.0763,0.7254,CD4 T cell,28
-0.7069,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.3215,0.4982,-0.2738,-0.715,-0.378,-0.167,-0.0763,0.4417,Tumor,12
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.2092,-0.2738,-0.8008,-0.378,-0.167,-0.0763,-0.6715,Tumor,21
-0.5501,-0.4458,-0.374,-0.3754,-0.3554,1.3713,-0.3597,-0.139,-0.5577,-0.0419,0.2673,1.2705,1.2977,-0.167,-0.0763,-0.6715,Tumor,21
-0.0739,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.5349,0.1217,0.718,0.4789,-0.167,-0.0763,-0.4586,Neutrophil,6
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5505,-0.5864,-0.2738,-0.5781,-0.3527,-0.167,-0.0763,-0.6715,Tumor,13
-0.7858,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.4936,2.4148,-0.2738,3.7346,3.9709,2.5693,-0.0763,-0.1772,Tumor,10
-0.5843,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,1.2011,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,1
1.1625,1.5458,5.7403,-0.3754,-0.3554,-0.3742,1.8862,-0.139,-0.5577,-0.8456,-0.2738,1.362,-0.378,-0.167,-0.0763,-0.6715,CD8 T cell,29
0.3304,-0.1835,-0.2139,-0.3754,-0.3554,0.1489,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,-0.5845,-0.378,-0.167,-0.0763,-0.1825,Other immune,13
2.0416,5.1545,0.3247,4.4781,-0.3554,-0.052,-0.3597,-0.139,-0.5577,-0.8356,-0.2738,0.1677,-0.378,-0.167,-0.0763,-0.6715,CD4 T cell,16
1.7596,0.5725,0.3988,0.7347,1.9777,-0.3742,-0.3496,-0.139,-0.5577,-0.7431,-0.2738,0.933,0.3353,-0.167,-0.0763,0.7308,CD4 T cell,35
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.3417,0.9553,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,27
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.029,2.1789,-0.2738,2.4795,2.0521,0.8182,-0.0763,-0.6715,Tumor,31
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.0352,-0.2738,-0.822,-0.378,-0.167,-0.0763,0.5212,Tumor,9
-0.7726,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.3883,-0.0324,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6592,Tumor,18
0.9935,0.7773,0.8504,-0.3754,-0.3554,1.3156,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.0111,Macrophage,35
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,2.3896,1.0264,3.4725,-0.822,-0.3676,-0.167,-0.0763,-0.6715,Tumor,37
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.8308,-0.1606,-0.2738,2.9281,4.2281,-0.167,-0.0763,-0.6715,Tumor,33
-0.791,-0.4389,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.1578,-0.2605,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,18
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,0.8832,-0.2738,-0.822,2.654,-0.167,-0.0763,-0.6715,Mesenchymal,3
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.3855,-0.1956,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,16
-0.2752,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,0.3667,-0.2478,0.8262,2.9889,-0.167,-0.0763,-0.4381,Tumor,25
